,token,label,cluster,character_dimension_1,character_dimension_2,count,probability,cass_brand,similar_cass_brand
138,shiraz_750,0,134,-34.942684,-45.469757,5,0.999999995770867,,
139,merlot_750ml_alcohol_licensee,0,135,-34.445244,-51.237152,8,0.999999995696373,,
140,gin_700ml,0,136,-28.611517,-48.64519,27,0.999999995655616,,
141,energizer,0,137,16.259684,-46.987373,15,0.999999995648892,,
142,scotch_whisky_1l,0,138,23.061193,63.700985,5,0.99999999558868,,
143,bacardi_white,1,139,-32.388138,28.873236,9,0.999999995534608,,
144,ultra_rosa,0,140,-14.21196,-16.789543,8,0.999999995373004,ultra,
145,grant_burge,1,141,-1.576829,17.919868,7,0.999999995364265,,
146,hardys_merlot,1,142,-13.359829,-47.766823,5,0.9999999953432,,
147,pinot_noir_750_ml,0,143,-42.08645,-44.968887,5,0.999999995287727,,
148,absolut,1,144,-3.6119933,-39.266094,15,0.999999995270898,,
149,minor_figures,1,145,-6.167345,2.5644374,5,0.99999999526158,,
150,vailima,1,146,-8.593929,-71.35871,5,0.999999995234087,,
151,panhead_supercharger,1,147,-12.466426,35.02813,5,0.999999995192969,,
152,glen_grant,1,148,1.0854572,25.89432,6,0.999999995158642,,
153,cool_change,1,149,13.208625,-9.103767,8,0.999999995123492,,
154,life,0,150,-58.041138,-0.20918207,23,0.999999995110026,,
155,live_plus_energy_drink,1,151,12.809975,-53.79631,13,0.999999994958638,,
156,bottle_328ml,0,152,-16.809666,-68.39323,8,0.999999994943017,,
157,kids_keri_apple,1,153,-13.787299,24.43856,5,0.9999999948854,keri,
158,dellos_aloe_vera_drink,1,154,6.926179,-9.610686,13,0.999999994819073,,
159,600_ml_600_ml,0,155,-25.241358,-44.964504,14,0.999999994809427,,
160,charles,1,156,-21.916254,-13.967084,5,0.999999994776761,,
161,fazer_tutti_frutti,0,157,46.879658,44.144844,5,0.999999994763529,,
162,sawmill,1,158,-4.647034,-13.949997,6,0.999999994756295,,
163,lion_red_bottle,1,159,-16.140436,-64.243225,7,0.999999994600505,,
164,xpa,0,160,-13.00727,-60.152897,6,0.999999994572952,,
165,pokka_iced_lychee,1,161,3.9929216,11.760569,6,0.999999994547332,pokka,
166,live_plus_original,1,162,-23.014147,-35.555496,16,0.999999994516079,,
168,deva,1,164,-45.05452,-44.485733,6,0.999999994474321,,
169,bush,0,165,-0.82074934,-49.773186,6,0.999999994431238,,
170,carb_12_pack,0,166,-19.380539,-55.839012,6,0.999999994274191,,
171,sunsilk_creations,0,167,22.932451,-26.0422,6,0.99999999425931,,
172,kim_crawford,1,168,25.906496,-10.756745,5,0.999999994238681,,
173,multivitamin,0,169,-32.253407,-20.443043,5,0.999999994215368,,
174,citric_acid_natural,0,170,42.18822,2.3297215,5,0.999999994133946,,
175,man_o_war_sauvignon,1,171,-18.830269,-45.082092,5,0.999999994116944,,
176,wooing_tree,1,172,41.363594,-15.348658,5,0.999999994056962,,
177,deodorant,0,173,5.2010922,31.426779,8,0.99999999400624,,
178,"

uniquely_formulated_natural_pectin",0,174,43.64077,1.8731511,6,0.999999994002459,,
179,jose_cuervo,1,175,-59.652985,-15.520851,12,0.999999993971657,,
180,haagen_lager,1,128,22.882986,-32.419147,5,0.999999993966756,,
181,live_500ml,1,176,-22.97244,-37.22366,26,0.99999999392495,,
182,bottles_15_pack,0,177,-19.169853,-63.080658,23,0.999999993911656,,
183,whyte_mackay,1,178,28.593987,57.224888,5,0.999999993869313,,
184,lemon_lime_bitters_330ml,0,179,-12.831157,-56.681366,23,0.999999993864936,,
185,energy_drink,0,180,15.838183,-55.737503,66,0.999999993842344,,
186,flowers_subject_availability_covid19,0,181,-8.084337,-71.751396,5,0.999999993808823,,
187,schweppes_classic_ginger_beer,1,182,55.99663,-6.0983086,24,0.999999993761224,schweppes,
188,sparkling_water,0,183,48.046177,6.681365,119,0.999999993743093,,
189,cognac,0,184,36.70594,12.2638035,16,0.999999993713364,,
190,good_buzz_kombucha,1,185,49.510345,-8.6427,8,0.999999993674235,,
191,brew,0,186,21.053705,-38.09645,30,0.999999993621401,,
192,block_loaf,0,187,11.847936,-12.593293,8,0.999999993611989,,
193,ready_drink,0,188,12.976822,-58.71779,15,0.999999993607809,,
194,goods_exact_person_ordering,0,189,26.32754,5.536527,5,0.999999993567499,,
195,shiraz_barossa_valley_australia,0,190,-41.052338,-49.476204,5,0.999999993496111,,
196,blanc,0,191,-18.811428,-42.06314,14,0.999999993396768,,
197,powerade_sports_drink,1,192,2.994421,53.618015,6,0.999999993383782,powerade,
198,somersby,1,193,-10.556922,56.845135,7,0.999999993344565,,
199,glass_bottle_ready,0,194,-13.584547,-65.21761,7,0.999999993343614,,
200,church_road,1,195,-50.26057,-39.019917,13,0.999999993333887,,
201,hope,1,196,-34.22171,34.39798,9,0.999999993252842,,
202,organic_phoenix,1,197,53.451206,-23.343166,7,0.999999993224038,phoenix,
203,beefeater_gin,1,198,27.586525,-6.545392,5,0.999999993161189,,
204,fat_bird_pinot_gris,1,199,-44.053894,-40.565403,12,0.999999993146102,,
205,h2go_water,1,200,-61.751205,-27.24517,17,0.999999993142338,h2go,
206,antipodes_sparkling_water,1,201,46.934647,7.6775937,28,0.999999993099063,,
207,powerade_mountain_blast,1,4,-1.0993625,59.16805,17,0.999999993077479,powerade,powerade_mountain_berry_blast powerade_zero_mountain_blast
208,"
apple",0,202,-11.806598,25.583334,5,0.999999993067687,,
209,bourbon_cola,0,203,29.49555,-43.139545,9,0.999999993064929,cola,
210,malty,0,204,34.43613,-38.830097,6,0.999999993050814,,
211,dry_gin,0,205,30.483091,-16.36954,6,0.999999992950454,,
212,rivers,0,206,-20.396954,-34.413456,6,0.99999999293124,,
213,supple,0,207,-17.940964,38.831898,7,0.999999992904631,,
214,scrumpy_apple,1,208,25.192968,40.300972,9,0.999999992897241,,
216,24_bottle_pre,0,210,-12.448294,-68.93798,9,0.999999992757145,,
217,nestle_milo,1,211,-4.882022,-15.6148615,14,0.999999992753221,milo,
218,sauvignon_blanc,0,212,-18.445618,-43.953312,41,0.999999992741306,,
219,bin,0,213,-41.861126,9.863563,10,0.999999992735891,,
220,pasqua_merlot,1,214,-12.53959,-48.977604,5,0.999999992676911,,
221,pepsi_sugar,1,215,39.32187,30.766832,14,0.999999992620953,pepsi,
222,l_p_330ml,0,216,-24.806131,-65.90321,55,0.999999992532027,,
223,stella_artois_12_pack,1,217,-17.828442,-53.867104,5,0.999999992435849,,
224,ballantines,1,218,-25.868464,-23.573006,5,0.999999992434717,,
225,macs_green_beret,1,219,16.73743,-4.2879276,12,0.99999999233947,,
226,distillation,0,220,-13.567763,-23.97928,5,0.999999992334326,,
227,spirit,0,221,-14.555874,-70.55947,102,0.999999992332413,,
228,coke_sugar_330ml_glass,1,222,-26.411997,-68.04769,7,0.999999992284036,coke,
230,goods_asked_provide_identification,0,224,1.8165523,-30.885263,5,0.999999992220399,,
231,sexy_bouquet,0,225,18.16773,0.6402646,5,0.9999999922105,,
232,brown_brothers_sparkling_moscato,1,226,6.382332,70.17887,8,0.999999992173043,,
233,liquorice,0,227,-50.173428,-47.91132,11,0.999999992165478,,
234,lindauer_special,1,228,12.504908,-28.719606,6,0.999999992137949,,
235,old_mout,1,229,-7.8811417,52.448795,5,0.999999992135473,,
236,ensure_person_receiving_goods,0,230,26.425158,6.0500536,7,0.999999992129071,,
237,barrel,0,231,-13.176088,50.497383,9,0.999999992074701,,
238,organics,0,232,50.688953,-26.712528,6,0.999999992073191,,
239,distillery,0,233,-13.380397,-23.911034,12,0.999999992063623,,
240,"4_alcohol

alcohol_licensee",0,234,-33.597042,-56.07033,6,0.999999992060294,,
241,jacobs_creek_sparkling,1,235,55.55787,17.08901,8,0.999999992036236,,
242,champagne,0,236,-49.125996,-16.562675,8,0.999999992024263,,
243,vodka_cruiser,1,237,-5.6421022,-43.841827,16,0.999999991998103,,
244,designed,0,238,-4.702217,-30.814116,13,0.999999991940279,,
245,125lt,0,239,-31.836367,-67.09896,6,0.999999991868358,,
246,6x330ml_cans,0,22,-22.068377,-66.0376,9,0.999999991857434,,
247,mount_gay_eclipse_rum,1,240,-5.6041117,67.75506,10,0.999999991846136,,
248,250,0,241,-23.67015,-52.651203,14,0.999999991829877,,
249,zero_sugar_500ml,0,242,25.64224,24.607557,6,0.999999991792848,,
250,tui_vodka,1,243,-5.6405277,-41.39413,8,0.999999991714101,,
251,"330ml_alcohol_can

alcohol",0,244,-29.232155,-57.638874,10,0.99999999162702,,
252,citrus_lemonade,0,245,17.324665,10.778447,6,0.999999991615531,,
253,antibacterial,0,246,-25.067646,-21.989948,11,0.999999991505788,,
254,sauv_blanc,0,247,-18.732664,-42.566833,9,0.999999991463215,,
255,"7_12x250ml_12_pack

alcohol",0,248,-20.761312,-55.37691,7,0.999999991429504,,
256,protect,0,249,-21.135616,65.886284,6,0.99999999139219,,
257,kava,0,250,-3.425321,-1.3362572,7,0.999999991264533,,
258,seagers_gin,1,251,33.793888,-16.857922,6,0.999999991174701,,
259,flight,0,252,37.547546,26.760094,5,0.999999991144492,,
260,karma_organic,1,253,49.279118,-24.467321,7,0.999999991091431,,
261,nz_lager,1,254,22.644749,-30.628836,11,0.999999991090059,,
262,fickle_mistress_pinot_noir,1,255,-41.774406,-43.98465,13,0.99999999104598,,
263,barrels,0,231,-13.414366,50.67232,12,0.999999991014993,,
264,moet_chandon,1,256,-28.76456,-37.178875,11,0.999999990991144,,
265,journey,0,257,-3.7491083,-23.844183,6,0.99999999092291,,
266,125_litre,0,258,-32.083622,-66.22819,11,0.999999990903038,,
267,steinlager_classic,1,259,19.798508,-31.308903,12,0.999999990898719,,
269,19_crimes_shiraz_750ml,1,40,-34.42549,-44.260002,6,0.999999990859909,,
270,hardys_vr,0,261,-13.685075,-47.46083,6,0.99999999075056,,
272,merlot_malbec,0,263,-10.198794,-47.92364,5,0.99999999069336,,
273,keeping,0,264,-47.06377,-21.018677,5,0.99999999068599,,
274,orchard_thieves,1,265,-20.515257,-10.429153,7,0.999999990662262,,
275,hazy_ipa_6,0,266,-25.593136,-31.41669,5,0.999999990604105,,
276,phoenix_organic_soda,1,267,53.32418,-22.498209,8,0.999999990576452,phoenix,phoenix_organic phoenix_organic_default phoenix_organic
277,"1l_45_alcohol_bottle

alcohol",0,268,-31.62665,-57.422005,6,0.999999990405681,,
278,blackcurrant,0,269,-7.182736,18.25639,108,0.99999999038443,,
280,keri_pulpy_orange_juice,1,271,-18.266285,25.817146,6,0.999999990256989,keri,
281,ned_rose,1,272,-0.89327365,-6.2135296,5,0.999999990255428,,
282,pure_water,1,273,-17.511354,-28.803879,11,0.999999990187038,,
283,v_guarana_energy,1,274,10.395142,-46.62129,10,0.999999990186005,v,
284,"central_victoria_australia_750ml

alcohol",0,275,-40.88459,-50.86508,6,0.999999990175525,,
286,gin_tonic,0,277,38.744396,-24.03979,8,0.999999990062006,,
287,v_energy_250ml,1,278,15.728068,-49.016994,11,0.999999989985745,v_energy,
288,spring_water,0,279,44.970848,6.006192,134,0.999999989964666,,
289,bundaberg_ginger_beer_375ml,1,223,34.0082,-8.2523365,35,0.999999989883654,bundaberg,bundaberg_ginger_beer bundaberg_ginger_beer bundaberg_diet_ginger_beer
290,aloe_vera_juice,1,280,7.2049813,-8.499545,14,0.999999989823124,,
291,waikato,1,281,-56.23059,12.670858,5,0.999999989815263,,
292,12x330ml,0,282,-22.632935,-66.034,5,0.999999989812988,,
293,old_mout_apple,1,283,-8.017007,52.440918,6,0.999999989733797,,
294,indian_tonic_water,0,284,38.743885,-22.232231,15,0.999999989668566,,
295,finest_ingredients,0,285,-7.8205442,-30.738533,5,0.999999989557358,,
296,pack_18_pack,0,286,-19.057205,-59.001522,10,0.999999989545974,,
297,head_shoulders_anti_dandruff,0,287,-29.173235,-45.801453,5,0.999999989463918,,
298,keri_orange_juice_350ml,1,288,-17.199928,26.435097,18,0.999999989388148,keri,
299,makers_mark,1,289,-18.464197,21.107155,11,0.999999989223109,,
300,blackberries,0,290,17.340118,26.982151,5,0.999999989097296,,
301,coke_suger,1,291,5.210636,8.74979,12,0.999999989055529,coke,
302,arrogant_frog_pinot_noir,1,292,-28.623608,51.9411,13,0.99999998893411,,
303,emersons,1,293,24.372953,6.6726236,9,0.999999988866565,,
304,plastic,0,294,-3.417346,56.17776,14,0.999999988618901,,
305,1_lit_alcohol_licensee,0,295,-34.123775,-54.858738,5,0.999999988543692,,
306,10_pack_320ml,0,296,-25.096956,-61.494907,10,0.999999988294097,,
307,rum_700ml,0,297,-28.422,-48.497623,6,0.999999988243705,,
308,lindauer_classic,1,298,12.317287,-28.836926,8,0.999999988187219,,
309,highland_park,1,299,59.31966,6.856748,5,0.999999988075289,,
310,gordons_pink_gin_700ml,1,300,-30.131763,-41.388367,6,0.999999988045754,,
311,"48_alcohol

alcohol_licensee_purchased",0,47,-35.82712,-56.990402,8,0.999999988044687,,
312,gift_box,0,301,-62.179146,-2.6682723,9,0.999999987778756,,
313,codys,1,302,5.3880424,-63.206165,7,0.999999987727914,,
315,hardys_shiraz,1,304,-13.805795,-47.38153,9,0.999999987519277,,
316,375ml_alcohol_licensee,0,305,-33.82608,-53.740887,8,0.999999987504194,,
317,"alcohol_each

alcohol_licensee",0,306,-33.75966,-56.309742,6,0.999999987500381,,
318,panadol,0,307,-10.817013,-36.701015,6,0.999999987437182,,
319,"375ml_alcohol_can

alcohol",0,244,-29.34181,-57.58557,5,0.999999987405447,,
320,vineyard,0,118,-10.737673,-43.3498,6,0.999999987257554,,
321,exact_person_ordering_goods,0,189,26.348124,5.623998,7,0.999999987222858,,
322,1800_coconut,1,308,-10.348139,4.364461,9,0.999999987169099,,
323,10_pack_320ml_alcohol,0,296,-25.076601,-61.38862,9,0.999999987103583,,
324,scrumpy_ginger,1,309,25.231037,40.24625,9,0.999999987096362,,
325,awardwinning,0,310,-3.103381,11.270411,8,0.999999986979954,,
326,years,0,311,-54.01299,-31.936954,31,0.999999986979782,,
327,kiwi_blue_lightly,1,312,58.989323,10.882851,6,0.999999986977333,kiwi_blue,kiwi_blue_lightly_sparkling kiwi_blue_berry_lightly_sparkling kiwi_blue_lime_lightly_sparkling kiwi_blue_lemon_lightly_sparkling
329,pinot_noir,0,314,-42.627277,-44.079327,46,0.999999986908216,,
330,scrumpy_raspberry,1,315,24.92638,39.69058,9,0.999999986733574,,
331,jacob_creek_sparkling_moscato,1,316,55.149284,16.671247,8,0.999999986709838,,
332,"12_packs

alcohol_licensee_purchased",0,33,-36.654667,-58.991844,9,0.999999986666193,,
333,nettle,0,317,-10.971426,-65.317924,7,0.999999986622586,,
334,karma_water,1,318,48.234543,-23.52241,7,0.999999986602318,,
335,res,0,319,-6.085408,1.9933755,10,0.999999986595557,,
336,rose_south_island,0,320,-42.84071,-37.806538,6,0.999999986381381,,
337,feijoa_lemonade,0,321,-19.20386,55.517857,6,0.999999986367239,,
338,powerade_zero_sugar,1,322,5.463279,52.373272,6,0.999999986349838,powerade,powerade_zero powerade_zero_grape
339,cruiser_passion_12_pack,0,323,-6.072084,-46.641506,5,0.99999998631939,,
341,mother_energy_drink,1,325,15.191808,-55.002186,26,0.999999986305565,mother,
342,calming,0,326,19.14614,-15.784674,5,0.999999986237473,,
343,baileys_irish_cream,1,327,47.62905,17.175953,9,0.999999986194253,,
344,42_vodka,1,328,-5.735237,-41.33958,6,0.99999998616929,,
345,hazy_pale_ale,0,329,-24.287327,-30.35644,5,0.999999986166372,,
346,honest,0,330,-9.484245,11.470432,7,0.999999986110892,,
347,asked_provide_identification_irrespective,0,331,1.8176572,-30.946487,7,0.999999985912996,,
348,montana,1,332,-26.208723,56.465874,15,0.999999985668655,,
349,distilled,0,333,-13.302465,-23.887245,8,0.999999985529488,,
350,waipara_hills,1,334,-31.802284,-34.718224,8,0.999999985438899,,
351,aa,1,335,23.502035,-33.818146,5,0.999999985428481,,
352,440ml_cans,0,336,-26.227512,-56.989914,13,0.999999985424662,,
353,red_label_1l,0,337,-6.7603135,-51.917347,6,0.999999985409742,,
354,cocacola_330ml,1,338,-24.569408,-67.472984,30,0.999999985384972,cocacola,
355,extraordinary,0,339,-60.325222,-11.770021,6,0.99999998536421,,
356,church_road_mcdonald,1,340,-50.282967,-39.10653,5,0.999999985339965,,
357,owned,0,341,10.071442,67.7281,5,0.999999985335258,,
358,old_masters_rich,1,342,-19.77088,-19.425436,5,0.999999985252514,,
359,700_ml_alcohol_licensee,0,343,-33.31826,-53.328987,10,0.999999985181587,,
360,grant_burge_5th_gen,1,344,-1.5672369,17.920671,7,0.999999985142761,,
361,double_espresso_iced_coffee,0,345,9.359327,-22.1322,9,0.999999985121989,,barista_bros_double_espresso_iced_coffee
362,"125l_125l

alcohol_licensee_purchased",0,47,-38.18174,-59.48658,5,0.999999985007373,,
363,100_tea_bags,0,346,40.648052,1.9023981,6,0.999999984966561,,
364,craggy_range_gimblett_gravels,1,347,3.5852175,-28.076174,5,0.999999984939072,,
365,rum_1l,0,348,-9.932813,-6.6202936,8,0.999999984927932,,
366,graham_norton,1,349,-46.582935,-37.405323,10,0.999999984856132,,
367,cans_250ml,0,350,-23.613483,-52.85891,8,0.999999984850297,,
368,red_label,0,351,-6.800909,-51.90378,10,0.999999984848764,,
